timestamp,core_node_cpu,core_node_memory,core_node_tx,core_node_rx,core_node_latency,core_node_jitter,core_node_cost,mec_node_cpu,mec_node_memory,mec_node_tx,mec_node_rx,mec_node_latency,mec_node_jitter,mec_node_cost,kube_app_server_cpu,kube_app_server_memory,kube_app_server_tx,kube_app_server_rx,kube_app_server_latency,kube_app_server_jitter,kube_app_server_cost,ue1_cqi,ue1_dl_bitrate,ue1_dl_mcs,ue1_epre,ue1_pusch_snr,ue1_ul_bitrate,ue1_ul_mcs,ue1_ul_path_loss,ue1_dl_tx,ue1_ul_tx,ue1_dl_err,ue1_ul_err,ue1_dl_retx,ue1_ul_retx,ue1_ul_phr,ue1_ul_rank,ue1_ul_n_layer,ue1_turbo_decoder_min,ue1_turbo_decoder_avg,ue1_turbo_decoder_max,ue2_cqi,ue2_dl_bitrate,ue2_dl_mcs,ue2_epre,ue2_pusch_snr,ue2_ul_bitrate,ue2_ul_mcs,ue2_ul_path_loss,ue2_dl_tx,ue2_ul_tx,ue2_dl_err,ue2_ul_err,ue2_dl_retx,ue2_ul_retx,ue2_ul_phr,ue2_ul_rank,ue2_ul_n_layer,ue2_turbo_decoder_min,ue2_turbo_decoder_avg,ue2_turbo_decoder_max,ue3_cqi,ue3_dl_bitrate,ue3_dl_mcs,ue3_epre,ue3_pusch_snr,ue3_ul_bitrate,ue3_ul_mcs,ue3_ul_path_loss,ue3_dl_tx,ue3_ul_tx,ue3_dl_err,ue3_ul_err,ue3_dl_retx,ue3_ul_retx,ue3_ul_phr,ue3_ul_rank,ue3_ul_n_layer,ue3_turbo_decoder_min,ue3_turbo_decoder_avg,ue3_turbo_decoder_max
1761730041.320369,22.832963465933698,37.61087398962613,33290.98075585439,14233.38080885032,69.75,44.32,4.0,36.23333333333334,50.30164517457229,1124921.3333333333,1088816.8,56.55,23.69,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,5048,20.7,-113.3,-0.1,9844,1.3,68.2,15,19,0,0,8,2,28,1,1,2,2.667,5,15,1342048,26.8,-106.9,6.8,41925,4,61,464,160,0,0,21,16,38,1,1,1,3.017,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761730051.790827,22.879814845428847,37.160287688168715,106528.68242684743,82673.10299223012,69.75,44.32,4.0,36.23333333333334,50.30164517457229,1124921.3333333333,1088816.8,56.55,23.69,4.0,32.10205805218459,79.91457752278795,1069636.7515668755,115067.07561008135,0.0,0.0,4.0,15,5148,22.1,-103,10.4,1674,4,66.7,15,7,0,0,4,0,30,1,1,1,1.857,2,15,1226534,26.9,-107.6,5.8,39258,4.1,60.5,454,160,0,0,33,14,38,1,1,1,2.799,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761730062.41605,22.879814845428847,37.160287688168715,106528.68242684742,82673.10299223012,69.75,44.32,4.0,34.7666666666665,49.454094835731176,1130357.3333333333,1096874.9333333333,56.55,23.69,4.0,32.10205805218459,79.91457752278795,1069636.7515668755,115067.07561008135,0.0,0.0,4.0,14,6370,22.2,-106,7.1,2420,3.1,66.4,20,11,0,0,8,1,32,1,1,2,3.25,5,15,1195376,26.8,-110,2.9,37212,2.5,58.7,500,173,0,0,40,17,38,1,1,1,2.468,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761730072.703609,22.879814845428847,37.160287688168715,106528.68242684742,82673.10299223012,69.75,44.32,4.0,34.7666666666665,49.454094835731176,1130357.3333333333,1096874.9333333333,56.55,23.69,4.0,37.028519370285125,80.89970120037081,1076880.5786088058,538610.4056261041,0.0,0.0,4.0,14,0,0.0,-109.1,4.7,0,0.0,69.4,0,0,0,0,0,0,30,1,0.0,0.0,0.0,0.0,15,1365176,27,-109.6,4.5,46941,2.5,61.8,7,3,0,0,0,0,36,1,1,2,2.667,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761730082.959481,26.469593451938188,37.146406594218675,29374.551850098087,11154.70472840425,69.75,44.32,4.0,34.7666666666665,49.454094835731176,1130357.3333333333,1096874.9333333333,56.55,23.69,4.0,37.028519370285125,80.89970120037081,1076880.5786088058,538610.4056261041,0.0,0.0,4.0,15,0,0.0,-112.1,0.1,0,0.0,70.1,0,0,0,0,0,0,28,1,0.0,0.0,0.0,0.0,15,1189859,26.6,-101.3,11.7,48338,4.5,61.9,13,6,0,0,0,0,36,1,1,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761730093.439116,26.469593451938188,37.146406594218675,29374.551850098087,11154.70472840425,69.75,44.32,4.0,35.35430971268626,49.59691134436481,1129867.8754749682,1111186.7208852742,56.55,23.69,4.0,37.028519370285125,80.89970120037081,1076880.5786088058,538610.4056261041,0.0,0.0,4.0,10,1527,9,-98.1,15.6,0,0.0,65.1,1,0,0,0,0,0,38,1,0.0,0.0,0.0,0.0,15,4182,24,-107.7,7,0,0.0,61,1,0,0,0,0,0,38,1,0.0,0.0,0.0,0.0,15,971765,26.9,-107.1,6,39496,4.3,62.1,43,16,0,0,3,3,36,1,1,1,2.632,5
1761730104.023522,26.469593451938188,37.146406594218675,29374.551850098087,11154.70472840425,69.75,44.32,4.0,35.35430971268626,49.59691134436481,1129867.8754749682,1111186.7208852742,56.55,23.69,4.0,38.86166938861672,81.65784060571579,1078768.6564676866,150130.58694130587,0.0,0.0,4.0,15,1939,23,-108.6,3.6,0,0.0,61,1,0,0,0,0,0,38,1,0.0,0.0,0.0,0.0,15,1174732,26.8,-100.9,11.1,43827,4.1,57.2,105,36,0,0,5,2,38,1,1,1,2.289,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761730114.406037,32.2121474764985,37.2361843169603,97159.27728515235,82838.58923928262,69.75,44.32,4.0,39.87932528835229,49.6985537342141,1129811.8541236082,1096201.0800720048,56.55,23.69,4.0,38.86166938861672,81.65784060571579,1078768.6564676866,150130.58694130587,0.0,0.0,4.0,15,0,0.0,-108.5,4.3,0,0.0,60.7,0,0,0,0,0,0,36,1,0.0,0.0,0.0,0.0,15,753411,27,-106.8,7.8,66352,4,59.2,1,1,0,0,0,0,38,1,1,3,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761730124.992183,32.2121474764985,37.2361843169603,97159.27728515235,82838.58923928262,69.75,44.32,4.0,39.87932528835227,49.6985537342141,1129811.8541236082,1096201.0800720048,56.55,23.69,4.0,38.86166938861672,81.65784060571579,1078768.6564676866,150130.58694130587,0.0,0.0,4.0,9,4187,13,-111.7,-0.1,2263,0,66.7,2,1,0,0,0,0,30,1,1,2,2,2,15,1211897,26.8,-109.8,3.1,37446,0.8,59.4,44,17,0,0,3,0,34,1,1,1,1.765,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761730135.359294,28.398657320564553,37.48834087972182,26562.148287096457,16168.229835126864,69.75,44.32,4.0,39.87932528835227,49.6985537342141,1129811.8541236082,1096201.0800720048,56.55,23.69,4.0,33.0733159988446,79.60523436474244,1079043.9362624176,121097.67317821189,0.0,0.0,4.0,13,4518,13.3,-111.7,0.2,3066,0,69,3,2,0,0,0,0,28,1,1,3,3,3,15,2631412,26.8,-104.9,6.9,42662,1,61.4,108,29,0,0,10,2,38,1,1,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
