timestamp,core_node_cpu,core_node_memory,core_node_tx,core_node_rx,core_node_latency,core_node_jitter,core_node_cost,mec_node_cpu,mec_node_memory,mec_node_tx,mec_node_rx,mec_node_latency,mec_node_jitter,mec_node_cost,kube_app_server_cpu,kube_app_server_memory,kube_app_server_tx,kube_app_server_rx,kube_app_server_latency,kube_app_server_jitter,kube_app_server_cost,ue1_cqi,ue1_dl_bitrate,ue1_dl_mcs,ue1_epre,ue1_pusch_snr,ue1_ul_bitrate,ue1_ul_mcs,ue1_ul_path_loss,ue1_dl_tx,ue1_ul_tx,ue1_dl_err,ue1_ul_err,ue1_dl_retx,ue1_ul_retx,ue1_ul_phr,ue1_ul_rank,ue1_ul_n_layer,ue1_turbo_decoder_min,ue1_turbo_decoder_avg,ue1_turbo_decoder_max,ue2_cqi,ue2_dl_bitrate,ue2_dl_mcs,ue2_epre,ue2_pusch_snr,ue2_ul_bitrate,ue2_ul_mcs,ue2_ul_path_loss,ue2_dl_tx,ue2_ul_tx,ue2_dl_err,ue2_ul_err,ue2_dl_retx,ue2_ul_retx,ue2_ul_phr,ue2_ul_rank,ue2_ul_n_layer,ue2_turbo_decoder_min,ue2_turbo_decoder_avg,ue2_turbo_decoder_max,ue3_cqi,ue3_dl_bitrate,ue3_dl_mcs,ue3_epre,ue3_pusch_snr,ue3_ul_bitrate,ue3_ul_mcs,ue3_ul_path_loss,ue3_dl_tx,ue3_ul_tx,ue3_dl_err,ue3_ul_err,ue3_dl_retx,ue3_ul_retx,ue3_ul_phr,ue3_ul_rank,ue3_ul_n_layer,ue3_turbo_decoder_min,ue3_turbo_decoder_avg,ue3_turbo_decoder_max
1761126961.479378,25.186679111940805,38.42243022759978,1243755.4503633576,1193263.284218948,45.94,10.06,4.0,29.84999999999976,49.479356251603704,1279703.4666666666,1242697.6,55.31,17.5,4.0,26.19999999999967,81.558608973122,2392908.533333333,534607.7333333333,0.0,0.0,4.0,15,10,23.5,-109.5,4.6,1,4.2,84.2,13,6,0,0,0,0,38,1,1,2,2.333,3,14,274585,21,-99.3,14.1,10179,3.3,73.2,50748,16429,306,15,10681,2588,16,1,1,1,2.598,5,14,1240728,23.5,-102,11,45308,5.5,69.8,234791,84338,656,17,32681,8022,28,1,1,1,2.819,5
1761126967.171358,25.186679111940805,38.42243022759978,1243755.4503633576,1193263.284218948,45.94,10.06,4.0,29.933333333333394,50.46236347398174,1258012.0,1216962.4,55.31,17.5,4.0,26.19999999999967,81.558608973122,2392908.533333333,534607.7333333333,0.0,0.0,4.0,15,3582703,26,-110.6,4,72783,1.7,72,929,242,0,0,15,21,38,1,1,2,3.194,5,15,1259242,20.5,-108.5,4.3,36152,0.5,75.6,666,192,0,0,123,2,22,1,1,1,2.335,5,14,1229383,23.7,-107.9,5.5,42925,5.3,70.6,576,211,0,0,48,18,28,1,1,1,2.865,5
1761126972.443043,25.186679111940805,38.42243022759978,1243755.4503633576,1193263.284218948,45.94,10.06,4.0,29.933333333333394,50.46236347398174,1258012.0,1216962.4,55.31,17.5,4.0,26.19999999999967,81.558608973122,2392908.533333333,534607.7333333333,0.0,0.0,4.0,15,3544,26.8,-110.6,4,0,0.0,72,10,0,0,0,0,0,38,1,0.0,0.0,0.0,0.0,15,1298017,20.1,-115.8,-3.4,34015,0,76.4,628,169,3,0,198,29,22,1,1,1,3.333,5,14,1300639,24.4,-105.4,8.5,44365,5.6,69.6,565,201,0,0,51,18,30,1,1,1,3.005,5
1761126977.823437,25.186679111940805,38.42243022759978,1243755.4503633576,1193263.284218948,45.94,10.06,4.0,29.933333333333394,50.46236347398174,1258012.0,1216962.4,55.31,17.5,4.0,26.19999999999967,81.558608973122,2392908.533333333,534607.7333333333,0.0,0.0,4.0,15,5185,26.4,-110,2.5,385,2,70.5,15,2,0,0,0,0,38,1,1,3,3,3,15,1296568,17.5,-114.2,-1.5,33770,0,75.2,630,171,6,0,336,74,22,1,1,1,3.465,5,14,1290699,23.8,-103.4,10.6,41031,5.6,68.3,580,188,0,0,53,18,30,1,1,1,3.087,5
1761126983.001138,25.186679111940805,38.42243022759978,1243755.4503633576,1193263.284218948,45.94,10.06,4.0,29.933333333333394,50.46236347398174,1258012.0,1216962.4,55.31,17.5,4.0,32.14444444444476,81.25861633368412,2406808.533333333,118074.4,0.0,0.0,4.0,15,3622,26.6,-110,2.5,0,0.0,70.5,10,0,0,0,0,0,38,1,0.0,0.0,0.0,0.0,14,1234885,19.1,-115.9,-3.3,28362,0,77.5,504,138,0,0,113,164,22,1,1,2,4.305,5,14,1215944,23.6,-101.9,11.4,42460,7.1,68.1,449,182,0,0,42,16,30,1,1,2,3.303,5
1761126988.2638,32.2651068226511,38.04824024854124,1955505.7827550578,1883796.6869979668,45.94,10.06,4.0,29.933333333333394,50.46236347398174,1258012.0,1216962.4,55.31,17.5,4.0,32.14444444444476,81.25861633368412,2406808.533333333,118074.4,0.0,0.0,4.0,14,1281252,21.1,-113.9,-0.5,33850,0,77.7,550,169,0,0,101,87,21,1,1,1,3.961,5,15,1256010,24.3,-104.3,8.5,40509,5.6,68.9,507,184,0,0,43,15,30,1,1,2,3.181,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761126993.56722,32.2651068226511,38.04824024854124,1955505.7827550578,1883796.6869979668,45.94,10.06,4.0,29.933333333333394,50.46236347398174,1258012.0,1216962.4,55.31,17.5,4.0,32.14444444444476,81.25861633368412,2406808.533333333,118074.4,0.0,0.0,4.0,15,1240671,20,-109.6,3.3,33740,0,76,552,169,0,0,77,8,21,1,1,1,3.034,5,15,1227025,24,-101.5,10.5,42585,6.1,69.8,518,195,0,0,49,20,28,1,1,1,3.158,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1761126999.105347,32.2651068226511,38.04824024854124,1955505.7827550578,1883796.6869979668,45.94,10.06,4.0,34.733333333333576,49.39004620651109,1240978.6666666667,1220779.2,55.31,17.5,4.0,32.14444444444476,81.25861633368412,2406808.533333333,118074.4,0.0,0.0,4.0,15,2,12,-110.7,1.3,8,1.7,84.4,5,9,0,0,0,0,38,1,1,2,2.667,3,14,1388340,22,-107.2,5.8,34719,0.5,74.9,624,183,0,0,86,3,21,1,1,1,1.742,5,14,1346268,23.5,-101.9,13.5,42226,9.1,68.8,567,201,0,0,54,13,30,1,1,2,3.21,5
1761127004.312897,32.2651068226511,38.04824024854124,1955505.7827550578,1883796.6869979668,45.94,10.06,4.0,34.733333333333576,49.39004620651109,1240978.6666666667,1220779.2,55.31,17.5,4.0,32.14444444444476,81.25861633368412,2406808.533333333,118074.4,0.0,0.0,4.0,15,2273567,23,-110,3.7,92888,1.3,63.9,453,201,0,0,72,16,38,1,1,2,3.055,5,15,1359001,22.4,-104,10,36136,2.3,71.9,592,172,0,0,71,14,26,1,1,1,2.296,5,14,1338209,23.5,-100.6,12.2,45000,8.8,67.8,544,197,0,0,52,22,30,1,1,2,3.498,5
1761127009.913466,32.2651068226511,38.04824024854124,1955505.7827550578,1883796.6869979668,45.94,10.06,4.0,34.733333333333576,49.39004620651109,1240978.6666666667,1220779.2,55.31,17.5,4.0,32.14444444444476,81.25861633368412,2406808.533333333,118074.4,0.0,0.0,4.0,15,3018,23.5,-110,3.7,0,0.0,63.9,11,0,0,0,0,0,38,1,0.0,0.0,0.0,0.0,15,1342100,22.3,-107.9,5.8,37135,3.9,73,577,185,0,0,81,18,24,1,1,1,2.734,5,14,1320820,23.3,-100.6,15.1,45936,9.6,67.7,623,217,0,0,59,16,30,1,1,2,3.142,5
