timestamp,core_node_cpu,core_node_memory,core_node_tx,core_node_rx,core_node_latency,core_node_jitter,core_node_cost,mec_node_cpu,mec_node_memory,mec_node_tx,mec_node_rx,mec_node_latency,mec_node_jitter,mec_node_cost,kube_app_server_cpu,kube_app_server_memory,kube_app_server_tx,kube_app_server_rx,kube_app_server_latency,kube_app_server_jitter,kube_app_server_cost,ue1_cqi,ue1_dl_bitrate,ue1_dl_mcs,ue1_epre,ue1_pusch_snr,ue1_ul_bitrate,ue1_ul_mcs,ue1_ul_path_loss,ue1_dl_tx,ue1_ul_tx,ue1_dl_err,ue1_ul_err,ue1_dl_retx,ue1_ul_retx,ue1_ul_phr,ue1_ul_rank,ue1_ul_n_layer,ue1_turbo_decoder_min,ue1_turbo_decoder_avg,ue1_turbo_decoder_max,ue2_cqi,ue2_dl_bitrate,ue2_dl_mcs,ue2_epre,ue2_pusch_snr,ue2_ul_bitrate,ue2_ul_mcs,ue2_ul_path_loss,ue2_dl_tx,ue2_ul_tx,ue2_dl_err,ue2_ul_err,ue2_dl_retx,ue2_ul_retx,ue2_ul_phr,ue2_ul_rank,ue2_ul_n_layer,ue2_turbo_decoder_min,ue2_turbo_decoder_avg,ue2_turbo_decoder_max,ue3_cqi,ue3_dl_bitrate,ue3_dl_mcs,ue3_epre,ue3_pusch_snr,ue3_ul_bitrate,ue3_ul_mcs,ue3_ul_path_loss,ue3_dl_tx,ue3_ul_tx,ue3_dl_err,ue3_ul_err,ue3_dl_retx,ue3_ul_retx,ue3_ul_phr,ue3_ul_rank,ue3_ul_n_layer,ue3_turbo_decoder_min,ue3_turbo_decoder_avg,ue3_turbo_decoder_max
1762207202.797692,24.559122578957552,46.24161891503772,1038291.8291829182,987165.3832049872,78.0,18.05,4.0,21.26666666668219,53.08457800506422,21395.2,36848.26666666666,65.28,12.64,4.0,21.566666666638206,61.0494193101747,23818.933333333334,12484.0,0.0,0.0,4.0,15,2976,17.2,-110.2,2.7,1508,0.8,63.7,6,4,0,0,3,0,34,1,1,2,2.25,3,14,2596,22,-105.1,8.5,27515,6.3,62.1,5,66,0,0,1,6,38,1,1,2,3.403,5,9,742846,20,-85.6,31.4,54012,21.8,63.8,142,39,0,0,16,2,26,1,1,1,2.375,5
1762207213.556257,24.559122578957552,46.24161891503772,1038291.8291829182,987165.3832049872,71.12,24.83,4.0,23.488434104338722,54.10537789685784,20197.320178654754,18751.016598893406,78.7,47.0,4.0,21.566666666638206,61.0494193101747,23818.933333333334,12484.0,0.0,0.0,4.0,9,936492,18.8,-85.2,27.3,55679,21.9,63.5,190,51,0,0,15,4,24,1,1,1,2.552,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762207224.687392,29.108333333327515,46.42197327240298,1044404.2666666666,994196.0,89.8,70.78,4.0,23.488434104338722,54.10537789685784,20197.320178654754,18751.016598893406,62.8,15.2,4.0,32.56666666666408,60.3708537075424,32421.6,382453.06666666665,0.0,0.0,4.0,6,3522,25.5,-109.1,3.9,26121,2.4,62.2,8,104,0,0,0,11,38,1,1,1,3.043,5,11,928504,20.1,-82,29.4,58823,22.6,64.4,278,61,0,0,19,8,22,1,1,1,2.634,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762207235.939199,29.108333333327515,46.42197327240298,1044404.2666666666,994196.0,75.41,21.96,4.0,25.795053003502517,53.497512645626095,20479.231948796583,34627.37515834389,62.1,19.89,4.0,32.56666666666408,60.3708537075424,32421.6,382453.06666666665,0.0,0.0,4.0,10,27216,17,-83.7,26.9,242969,24.5,63.8,2,2,0,0,0,0,24,1,1,2,2.5,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762207246.420382,29.108333333327515,46.42197327240298,1044404.2666666666,994196.0,79.9,23.9,4.0,25.795053003502517,53.497512645626095,20479.231948796587,34627.37515834389,72.3,17.59,4.0,32.56666666666408,60.3708537075424,32421.6,382453.06666666665,0.0,0.0,4.0,15,4156,25,-110,4.1,13108,2.3,63.6,1,6,0,0,0,1,36,1,1,2,3.286,5,15,1901963,19,-85.6,27.3,17232,22.2,63,41,5,0,0,2,0,24,1,1,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762207256.919558,30.82499999999224,45.730215446561786,1048357.3333333334,1006872.7999999999,68.56,16.09,4.0,25.795053003502517,53.497512645626095,20479.231948796587,34627.37515834389,72.3,17.59,4.0,27.866666666684765,59.93260098910237,26680.533333333333,84102.13333333333,0.0,0.0,4.0,9,1259531,21.5,-84.5,29.3,82296,22,63.8,57,15,0,0,5,1,22,1,1,1,2.609,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762207267.15461,30.82499999999224,45.730215446561786,1048357.3333333334,1006872.7999999999,59.57,18.68,4.0,24.271715218981527,53.836453217647986,19150.189987334175,6074.261715885607,65.66,18.03,4.0,27.86666666668478,59.93260098910237,26680.533333333333,84102.13333333333,0.0,0.0,4.0,9,1075208,19.8,-84,26.7,56937,22.3,64.4,58,13,0,0,0,1,22,1,1,1,2.6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762207277.593154,30.82499999999224,45.730215446561786,1048357.3333333334,1006872.7999999999,65.77,10.11,4.0,24.271715218981527,53.836453217647986,19150.189987334175,6074.261715885607,59.02,12.49,4.0,27.86666666668478,59.93260098910237,26680.533333333333,84102.13333333333,0.0,0.0,4.0,15,898214,20.7,-86.8,25.3,56512,22.5,63.5,99,24,0,0,6,2,24,1,1,1,2.594,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762207287.916143,25.69999999997283,45.76406933756224,1036892.0,984734.9333333333,65.77,10.11,4.0,24.271715218981527,53.836453217647986,19150.189987334175,6074.261715885607,61.75,16.72,4.0,23.566666666689954,60.690541459940555,27310.933333333334,13968.266666666666,0.0,0.0,4.0,10,800113,18.6,-85.3,27.6,94437,22.5,66.2,114,32,0,0,11,0,26,1,1,1,2.725,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762207302.768241,25.69999999997283,45.76406933756224,1036892.0,984734.9333333333,54.78,10.14,4.0,21.128075205002013,53.970915557252916,19978.131875458366,18845.789719314624,80.65,25.81,4.0,23.566666666689954,60.690541459940555,27310.933333333334,13968.266666666666,0.0,0.0,4.0,15,882208,20.5,-84,31.5,45180,22.4,63,47,13,0,0,0,4,26,1,1,1,2.913,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
